ID	log2(fold change)	-log10(Pvalue)
A_33_P3370212	1.675	3.714
A_33_P3372910	3.224	8.943
A_33_P3374673	0.821	3.764
A_33_P3374957	-0.518	3.753
A_33_P3375145	1.426	3.276
A_33_P3375950	-0.708	4.694
A_33_P3376965	2.159	6.199
A_33_P3376971	1.872	6.722
A_33_P3379391	1.08	3.122
A_33_P3379681	1.623	4.171
A_33_P3379939	0.613	3.831
A_33_P3379947	0.836	4.735
A_33_P3379962	0.543	4.019
A_33_P3380883	0.872	3.922
A_33_P3381996	1.24	3.064
A_33_P3382351	-0.683	4.676
A_33_P3383866	0.526	3.778
A_33_P3385351	1.122	3.261
A_33_P3390456	0.958	4.109
A_33_P3390950	0.946	5.05
A_33_P3391167	-0.656	3.241
A_33_P3393504	1.187	3.472
A_33_P3393821	0.731	4.583
A_33_P3395848	0.922	3.077
A_33_P3396473	0.422	3.53
A_33_P3396972	0.991	3.371
A_33_P3397323	1.132	6.326
A_33_P3397418	2.077	7.584
A_33_P3397865	0.597	4.154
